Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,dynamin family protein polymerization involved in mitochondrial fission (GO:0003374),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,DNM1L
GO_Biological_Process_2021,plasma membrane phospholipid scrambling (GO:0017121),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,ANO6
GO_Biological_Process_2021,regulation of proton transport (GO:0010155),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PHB2
GO_Biological_Process_2021,positive regulation of lymphocyte migration (GO:2000403),2/14,0.0266846266031607,0.7034417422741066,0,0,8.909627611262488,32.28552945588935,DOCK8;JAM2
GO_Biological_Process_2021,regulation of nitric-oxide synthase biosynthetic process (GO:0051769),2/14,0.0266846266031607,0.7034417422741066,0,0,8.909627611262488,32.28552945588935,GSTP1;NAMPT
GO_Biological_Process_2021,antiviral innate immune response (GO:0140374),2/14,0.0266846266031607,0.7034417422741066,0,0,8.909627611262488,32.28552945588935,PHB;PHB2
GO_Biological_Process_2021,positive regulation of immunoglobulin production (GO:0002639),3/35,0.0263683143459868,0.7034417422741066,0,0,5.020235655737705,18.251529611393817,STX4;PHB;PHB2
GO_Biological_Process_2021,iron ion homeostasis (GO:0055072),4/61,0.0261058026170999,0.7034417422741066,0,0,3.7633261235279982,13.719572935601663,TF;BDH2;ISCU;HMOX2
GO_Biological_Process_2021,glycogen biosynthetic process (GO:0005978),2/13,0.0231509987089623,0.7034417422741066,0,0,9.720089175130049,36.60310853397108,PGM2;PGM1
GO_Biological_Process_2021,glucan biosynthetic process (GO:0009250),2/13,0.0231509987089623,0.7034417422741066,0,0,9.720089175130049,36.60310853397108,PGM2;PGM1
